accuracy,comment,team_name,members
0.6058,N/A,taiwan-numba-1,johnnykwwang|keithyuck
0.5301,N/A,statistically_proper,ShantanuPhadke|Vchabs
0.5078,N/A,travel-boyz,cyzanfar|et435
0.4967,N/A,kirinji,CherryBilberry|shawnwang95
0.4855,N/A,nlp-y-j,Jingjing-Bai-WCM|skybluewing
0.4521,N/A,nlp-yong-kun,Rogerwlk|acneyouth1996
0.3831,N/A,nlp19,rh443453518|ys838
0.3719,N/A,jbit,irenetung|jillianjmb
0.3408,N/A,bingsboys,MattD18|wario123
0.3385,N/A,pj-party,Joloh13|pkale
0.3229,N/A,whatever,CeliaYao329|YeatsMar
0.2494,N/A,neural-linguistic-processing,dni138|wumpusman
0.0401,N/A,dot-product,marikacusick|trallen91
0.0401,N/A,charles-richard-1,ckuang|richardqhill
0.0401,N/A,salty_fish,wrymax|ziyuqiu
0.0401,N/A,mercury,SteffenBerlin|ccweaver1
0.0401,N/A,campbell-richard,ccweaver1
0.0401,N/A,nonlinear-programming,Sunnah|migunasekera
0.0401,N/A,weak-derivatives,anthonytec2|bzelditch
0.0401,N/A,despacitos,dhachuel|lsharir
0.0401,N/A,nlp-r-s,ryanfarr01|shainedl
0.0401,N/A,team-boosted,omer921|ren-e1011
0.0401,N/A,team,StevenWooooo|advaitapatel
0.0401,N/A,unsupervised-learners,joe83830
0.0401,N/A,1,PeterXUYAOHAI|lifei96
0.0401,N/A,queen,ckuang
0.0401,N/A,too-hard-to-choose-a-name,rrrainbowww|zhihao-liu
