prec.,recall,F1,team_name,members,comment
1.0000,1.0000,1.0000,gold,,N/A
0.7096,0.6188,0.6611,johnnykwwang,johnnykwwang,N/A
0.7107,0.6137,0.6586,ys838,ys838,DISQUALIFIED
0.7107,0.6137,0.6586,advaitapatel,advaitapatel,N/A
0.7069,0.5774,0.6356,YeatsMar,YeatsMar,N/A
0.7182,0.5177,0.6017,keithyuck,keithyuck,N/A
0.5990,0.5307,0.5628,omer921,omer921,N/A
0.6529,0.3950,0.4922,lsharir,lsharir,N/A
0.5889,0.4123,0.4850,CeliaYao329,CeliaYao329,N/A
0.5864,0.3492,0.4377,dwb264,dwb264,N/A
0.5852,0.3414,0.4312,wumpusman,wumpusman,N/A
0.4809,0.3812,0.4253,irenetung,irenetung,N/A
0.6635,0.3016,0.4147,bzelditch,bzelditch,N/A
0.6179,0.2740,0.3796,dhachuel,dhachuel,N/A
0.6600,0.2550,0.3678,jillianjmb,jillianjmb,N/A
0.6282,0.2584,0.3662,ShantanuPhadke,ShantanuPhadke,N/A
0.4767,0.2740,0.3480,Sunnah,Sunnah,N/A
0.3317,0.2308,0.2722,shainedl,shainedl,N/A
0.2909,0.2014,0.2380,PeterXUYAOHAI,PeterXUYAOHAI,N/A
0.0200,0.2861,0.0374,ccweaver1,ccweaver1,N/A
0.0210,0.1366,0.0364,richardqhill,richardqhill,N/A
0.0000,0.0000,0.0000,anthonytec2,anthonytec2,
0.0000,0.0000,0.0000,ren-e1011,ren-e1011,Was expecting 1 item per line
0.0000,0.0000,0.0000,dni138,dni138,Was expecting 1 item per line
0.0000,0.0000,0.0000,wrymax,wrymax,Was expecting 1 item per line
0.0000,0.0000,0.0000,acneyouth1996,acneyouth1996,Was expecting 1 item per line
0.0000,0.0000,0.0000,StevenWooooo,StevenWooooo,Was expecting 1 item per line
0.0000,0.0000,0.0000,pkale,pkale,Was expecting 1 item per line
0.0000,0.0000,0.0000,migunasekera,migunasekera,
0.0000,0.0000,0.0000,MattD18,MattD18,Was expecting 1 item per line
0.0000,0.0000,0.0000,ckuang,ckuang,Was expecting 1 item per line
0.0000,0.0000,0.0000,et435,et435,Was expecting 1 item per line
0.0000,0.0000,0.0000,ziyuqiu,ziyuqiu,Was expecting 1 item per line
0.0000,0.0000,0.0000,SteffenBerlin,SteffenBerlin,Was expecting 1 item per line
0.0000,0.0000,0.0000,lifei96,lifei96,Was expecting 1 item per line
0.0000,0.0000,0.0000,Jingjing-Bai-WCM,Jingjing-Bai-WCM,Was expecting 1 item per line
0.0000,0.0000,0.0000,Vchabs,Vchabs,Was expecting 1 item per line
0.0000,0.0000,0.0000,Joloh13,Joloh13,Was expecting 1 item per line
0.0000,0.0000,0.0000,marikacusick,marikacusick,Was expecting 1 item per line
0.0000,0.0000,0.0000,trallen91,trallen91,Was expecting 1 item per line
0.0000,0.0000,0.0000,ryanfarr01,ryanfarr01,Was expecting 1 item per line
0.0000,0.0000,0.0000,rrrainbowww,rrrainbowww,Was expecting 1 item per line
0.0000,0.0000,0.0000,rh443453518,rh443453518,Was expecting 1 item per line
0.0000,0.0000,0.0000,shawnwang95,shawnwang95,Was expecting 1 item per line
0.0000,0.0000,0.0000,zhihao-liu,zhihao-liu,Was expecting 1 item per line
0.0000,0.0000,0.0000,wario123,wario123,Was expecting 1 item per line
